length,width,shape
44,93,rectangle
47,55,rectangle
36,36,square
67,67,square
32,38,rectangle
74,74,square
9,9,square
35,34,rectangle
31,77,rectangle
62,59,rectangle
97,97,square
79,79,square
22,22,square
70,70,square
60,75,rectangle
3,51,rectangle
5,17,rectangle
12,12,square
41,14,rectangle
91,91,square
47,52,rectangle
18,18,square
74,74,square
55,55,square
94,54,rectangle
41,41,square
32,32,square
11,66,rectangle
61,61,square
29,5,rectangle
16,95,rectangle
57,38,rectangle
60,52,rectangle
87,87,square
51,93,rectangle
52,52,square
13,67,rectangle
85,83,rectangle
53,36,rectangle
72,51,rectangle
48,69,rectangle
8,37,rectangle
18,58,rectangle
13,2,rectangle
14,3,rectangle
82,48,rectangle
53,53,square
60,24,rectangle
2,2,square
95,89,rectangle
88,33,rectangle
76,32,rectangle
64,82,rectangle
43,87,rectangle
35,35,square
15,15,square
21,82,rectangle
12,12,square
68,68,square
62,62,square
52,3,rectangle
72,72,square
36,16,rectangle
47,47,square
27,13,rectangle
42,42,square
7,7,square
8,8,square
24,24,square
77,77,square
85,85,square
49,49,square
56,56,square
20,27,rectangle
24,72,rectangle
8,8,square
36,32,rectangle
3,3,square
5,67,rectangle
61,61,square
76,94,rectangle
20,20,square
21,45,rectangle
66,66,square
3,39,rectangle
38,38,square
44,44,square
45,45,square
33,33,square
44,13,rectangle
100,100,square
77,77,square
99,45,rectangle
95,95,square
52,52,square
58,45,rectangle
100,100,square
2,2,square
38,31,rectangle
62,88,rectangle
46,46,square
90,90,square
30,30,square
1,51,rectangle
91,93,rectangle
10,10,square
89,89,square
63,63,square
18,18,square
46,46,square
84,84,square
40,91,rectangle
93,10,rectangle
59,59,square
47,80,rectangle
34,19,rectangle
30,30,square
40,64,rectangle
15,82,rectangle
59,45,rectangle
80,55,rectangle
27,80,rectangle
92,24,rectangle
57,1,rectangle
19,70,rectangle
38,38,square
82,82,square
20,20,square
86,37,rectangle
80,80,square
89,73,rectangle
86,86,square
23,52,rectangle
19,19,square
29,68,rectangle
33,33,square
14,2,rectangle
11,85,rectangle
33,33,square
34,3,rectangle
10,10,square
10,10,square
96,96,square
11,11,square
25,25,square
83,52,rectangle
67,70,rectangle
84,78,rectangle
56,56,square
1,1,square
80,93,rectangle
90,90,square
91,83,rectangle
39,39,square
89,89,square
17,76,rectangle
46,46,square
19,13,rectangle
27,27,square
63,4,rectangle
44,44,square
31,31,square
15,15,square
13,75,rectangle
91,49,rectangle
24,24,square
10,21,rectangle
25,25,square
93,93,square
31,31,square
14,14,square
98,98,square
47,47,square
57,6,rectangle
86,100,rectangle
27,75,rectangle
10,19,rectangle
29,29,square
49,4,rectangle
66,43,rectangle
36,36,square
49,49,square
44,44,square
44,44,square
55,55,square
29,29,square
54,30,rectangle
80,80,square
47,81,rectangle
3,36,rectangle
91,98,rectangle
21,21,square
10,13,rectangle
69,69,square
4,29,rectangle
10,99,rectangle
58,41,rectangle
85,85,square
72,37,rectangle
49,49,square
46,46,square
13,33,rectangle
18,90,rectangle
38,90,rectangle
8,8,square
43,43,square
78,78,square
8,8,square
22,22,square
32,44,rectangle
42,93,rectangle
73,73,square
88,88,square
66,40,rectangle
75,3,rectangle
38,52,rectangle
100,26,rectangle
68,68,square
55,55,square
62,23,rectangle
9,9,square
38,38,square
54,57,rectangle
5,5,square
35,35,square
26,26,square
47,64,rectangle
84,16,rectangle
37,8,rectangle
72,49,rectangle
29,29,square
34,34,square
6,10,rectangle
17,78,rectangle
83,26,rectangle
58,20,rectangle
21,21,square
37,37,square
37,37,square
88,88,square
44,44,square
41,70,rectangle
11,11,square
97,97,square
77,99,rectangle
52,52,square
36,93,rectangle
3,3,square
97,97,square
47,58,rectangle
53,53,square
36,27,rectangle
52,78,rectangle
11,11,square
88,54,rectangle
64,100,rectangle
18,18,square
85,85,square
78,53,rectangle
78,95,rectangle
65,65,square
5,5,square
88,88,square
76,76,square
78,78,square
43,100,rectangle
77,77,square
13,82,rectangle
82,16,rectangle
10,10,square
50,50,square
34,55,rectangle
82,82,square
55,10,rectangle
65,18,rectangle
57,66,rectangle
18,83,rectangle
43,44,rectangle
84,26,rectangle
23,23,square
31,31,square
81,81,square
100,100,square
33,56,rectangle
100,4,rectangle
44,31,rectangle
95,95,square
9,9,square
39,76,rectangle
47,47,square
6,6,square
68,68,square
41,41,square
50,78,rectangle
51,12,rectangle
2,2,square
7,7,square
87,87,square
15,15,square
51,51,square
94,71,rectangle
8,90,rectangle
43,67,rectangle
94,82,rectangle
25,25,square
19,100,rectangle
39,22,rectangle
66,69,rectangle
63,63,square
43,84,rectangle
39,81,rectangle
21,21,square
60,60,square
27,27,square
24,26,rectangle
77,77,square
79,22,rectangle
1,6,rectangle
3,9,rectangle
100,100,square
63,64,rectangle
40,40,square
55,90,rectangle
14,14,square
3,3,square
12,15,rectangle
17,10,rectangle
9,9,square
83,31,rectangle
77,83,rectangle
2,2,square
97,97,square
72,72,square
58,78,rectangle
42,42,square
73,73,square
52,87,rectangle
68,10,rectangle
45,66,rectangle
38,38,square
13,13,square
13,96,rectangle
58,58,square
30,30,square
71,71,square
8,8,square
94,94,square
26,98,rectangle
28,28,square
67,73,rectangle
89,89,square
8,39,rectangle
93,93,square
70,54,rectangle
48,48,square
4,4,square
89,82,rectangle
42,42,square
47,49,rectangle
37,5,rectangle
82,41,rectangle
66,66,square
8,51,rectangle
94,94,square
18,18,square
13,13,square
6,6,square
28,43,rectangle
25,93,rectangle
37,37,square
22,22,square
5,5,square
52,52,square
89,30,rectangle
98,69,rectangle
76,82,rectangle
72,23,rectangle
78,78,square
36,36,square
26,24,rectangle
75,94,rectangle
57,39,rectangle
13,13,square
54,54,square
61,61,square
74,74,square
13,13,square
50,50,square
42,42,square
50,58,rectangle
56,56,square
51,25,rectangle
62,62,square
61,61,square
24,24,square
91,91,square
43,82,rectangle
16,16,square
49,48,rectangle
11,89,rectangle
11,11,square
65,65,square
67,67,square
99,25,rectangle
51,84,rectangle
57,84,rectangle
23,23,square
79,81,rectangle
73,25,rectangle
27,95,rectangle
75,75,square
98,98,square
83,83,square
37,37,square
23,23,square
8,8,square
62,62,square
98,98,square
2,2,square
59,59,square
30,91,rectangle
5,5,square
30,30,square
27,27,square
46,11,rectangle
5,5,square
35,38,rectangle
58,58,square
83,96,rectangle
33,33,square
81,65,rectangle
80,77,rectangle
51,68,rectangle
30,26,rectangle
95,95,square
2,80,rectangle
15,15,square
79,42,rectangle
60,60,square
24,24,square
94,94,square
63,31,rectangle
72,72,square
50,97,rectangle
91,91,square
5,43,rectangle
36,13,rectangle
28,68,rectangle
35,35,square
69,59,rectangle
49,60,rectangle
53,53,square
32,24,rectangle
15,35,rectangle
43,43,square
60,13,rectangle
25,37,rectangle
42,18,rectangle
17,77,rectangle
48,27,rectangle
14,57,rectangle
19,77,rectangle
92,92,square
92,41,rectangle
39,39,square
48,53,rectangle
88,88,square
58,58,square
18,18,square
50,59,rectangle
88,69,rectangle
36,76,rectangle
65,97,rectangle
55,55,square
85,85,square
85,85,square
59,68,rectangle
87,16,rectangle
42,42,square
40,43,rectangle
76,76,square
62,68,rectangle
47,79,rectangle
58,4,rectangle
78,23,rectangle
90,69,rectangle
75,55,rectangle
44,82,rectangle
58,58,square
43,43,square
33,33,square
82,82,square
64,64,square
57,57,square
35,14,rectangle
5,63,rectangle
15,15,square
7,7,square
66,66,square
16,16,square
62,62,square
75,99,rectangle
94,94,square
62,8,rectangle
89,58,rectangle
77,77,square
75,75,square
44,44,square
86,86,square
35,35,square
62,62,square
93,93,square
59,59,square
67,67,square
87,87,square
77,84,rectangle
30,22,rectangle
12,81,rectangle
44,44,square
57,57,square
5,68,rectangle
1,67,rectangle
80,6,rectangle
100,100,square
35,93,rectangle
15,15,square
62,17,rectangle
87,87,square
20,20,square
65,33,rectangle
45,52,rectangle
60,60,square
99,99,square
38,63,rectangle
64,36,rectangle
38,22,rectangle
79,7,rectangle
4,4,square
51,51,square
15,71,rectangle
43,72,rectangle
55,55,square
84,66,rectangle
90,7,rectangle
63,63,square
9,75,rectangle
45,44,rectangle
12,56,rectangle
100,100,square
40,40,square
38,38,square
9,78,rectangle
87,87,square
84,66,rectangle
100,100,square
37,32,rectangle
81,6,rectangle
81,81,square
30,33,rectangle
22,22,square
30,30,square
82,43,rectangle
19,19,square
12,78,rectangle
46,46,square
49,70,rectangle
54,6,rectangle
18,18,square
68,20,rectangle
62,62,square
61,61,square
44,15,rectangle
75,83,rectangle
64,64,square
50,96,rectangle
52,6,rectangle
10,83,rectangle
79,2,rectangle
7,7,square
86,5,rectangle
74,71,rectangle
44,4,rectangle
5,99,rectangle
67,25,rectangle
75,75,square
4,4,square
99,50,rectangle
89,89,square
63,29,rectangle
11,11,square
2,1,rectangle
46,55,rectangle
81,13,rectangle
11,96,rectangle
20,20,square
74,74,square
14,20,rectangle
39,39,square
82,56,rectangle
21,21,square
87,87,square
17,17,square
74,74,square
84,62,rectangle
56,25,rectangle
61,45,rectangle
32,32,square
52,43,rectangle
47,47,square
89,89,square
67,13,rectangle
83,83,square
50,51,rectangle
99,99,square
51,12,rectangle
8,8,square
14,14,square
72,18,rectangle
63,7,rectangle
17,17,square
38,38,square
92,92,square
91,100,rectangle
71,71,square
85,85,square
31,69,rectangle
31,52,rectangle
16,17,rectangle
3,3,square
90,95,rectangle
28,60,rectangle
61,61,square
36,71,rectangle
53,89,rectangle
81,81,square
55,55,square
16,43,rectangle
4,4,square
31,4,rectangle
68,68,square
59,23,rectangle
22,7,rectangle
55,55,square
78,78,square
49,49,square
33,97,rectangle
70,42,rectangle
32,32,square
24,22,rectangle
15,82,rectangle
40,40,square
35,80,rectangle
90,90,square
54,54,square
4,4,square
75,85,rectangle
90,90,square
27,56,rectangle
23,7,rectangle
21,21,square
19,19,square
57,5,rectangle
69,77,rectangle
70,55,rectangle
58,58,square
7,7,square
13,22,rectangle
64,31,rectangle
60,60,square
48,38,rectangle
59,4,rectangle
81,53,rectangle
33,11,rectangle
27,27,square
99,99,square
63,63,square
83,83,square
48,48,square
11,80,rectangle
45,45,square
2,2,square
66,66,square
67,67,square
76,76,square
79,55,rectangle
17,28,rectangle
43,30,rectangle
86,2,rectangle
30,30,square
98,98,square
22,9,rectangle
94,36,rectangle
58,58,square
33,33,square
67,67,square
74,74,square
22,22,square
98,91,rectangle
27,27,square
34,52,rectangle
76,55,rectangle
7,7,square
16,94,rectangle
75,75,square
76,47,rectangle
99,46,rectangle
1,1,square
57,32,rectangle
50,23,rectangle
74,74,square
69,37,rectangle
77,77,square
74,25,rectangle
48,48,square
88,88,square
66,66,square
62,62,square
61,61,square
76,76,square
95,95,square
18,57,rectangle
40,78,rectangle
17,98,rectangle
90,90,square
89,89,square
32,32,square
84,27,rectangle
6,6,square
27,27,square
73,60,rectangle
63,88,rectangle
48,74,rectangle
43,43,square
49,49,square
38,38,square
87,87,square
75,44,rectangle
32,17,rectangle
39,67,rectangle
97,97,square
89,89,square
74,74,square
87,87,square
30,30,square
89,48,rectangle
9,40,rectangle
7,7,square
95,95,square
86,86,square
95,95,square
7,7,square
8,20,rectangle
29,85,rectangle
45,45,square
12,12,square
96,45,rectangle
38,2,rectangle
29,29,square
7,31,rectangle
79,93,rectangle
30,74,rectangle
59,30,rectangle
16,3,rectangle
85,85,square
60,60,square
98,98,square
36,36,square
62,62,square
37,37,square
43,43,square
24,24,square
87,87,square
12,12,square
24,24,square
68,68,square
78,78,square
91,92,rectangle
49,19,rectangle
32,95,rectangle
16,16,square
23,48,rectangle
60,60,square
52,52,square
74,74,square
43,57,rectangle
3,27,rectangle
3,90,rectangle
95,95,square
54,65,rectangle
33,33,square
32,39,rectangle
14,2,rectangle
51,51,square
34,78,rectangle
23,23,square
25,68,rectangle
49,49,square
81,99,rectangle
65,59,rectangle
66,67,rectangle
14,30,rectangle
69,90,rectangle
52,45,rectangle
92,92,square
88,38,rectangle
100,100,square
41,41,square
3,36,rectangle
98,98,square
38,38,square
54,87,rectangle
25,25,square
64,59,rectangle
19,19,square
66,66,square
31,22,rectangle
10,72,rectangle
68,42,rectangle
90,90,square
32,54,rectangle
73,73,square
7,7,square
3,3,square
97,1,rectangle
60,24,rectangle
89,89,square
74,74,square
10,61,rectangle
74,74,square
21,11,rectangle
21,21,square
14,87,rectangle
14,10,rectangle
6,74,rectangle
60,60,square
53,99,rectangle
10,53,rectangle
4,53,rectangle
26,55,rectangle
53,69,rectangle
97,97,square
63,41,rectangle
95,95,square
32,32,square
7,81,rectangle
74,27,rectangle
44,44,square
64,100,rectangle
82,82,square
69,21,rectangle
15,18,rectangle
25,8,rectangle
19,19,square
52,46,rectangle
36,70,rectangle
70,70,square
33,33,square
65,83,rectangle
33,33,square
66,66,square
32,86,rectangle
18,18,square
39,39,square
84,37,rectangle
30,30,square
15,15,square
99,99,square
24,78,rectangle
1,38,rectangle
55,75,rectangle
5,5,square
86,86,square
79,75,rectangle
66,44,rectangle
9,9,square
72,33,rectangle
82,82,square
83,83,square
98,94,rectangle
76,46,rectangle
20,20,square
16,16,square
35,35,square
16,16,square
10,38,rectangle
85,81,rectangle
1,46,rectangle
69,69,square
37,37,square
50,23,rectangle
18,18,square
98,98,square
33,33,square
17,76,rectangle
9,9,square
35,35,square
5,96,rectangle
73,11,rectangle
8,21,rectangle
76,53,rectangle
22,22,square
50,70,rectangle
61,91,rectangle
37,47,rectangle
18,18,square
14,49,rectangle
8,8,square
83,95,rectangle
78,69,rectangle
43,51,rectangle
31,33,rectangle
6,90,rectangle
75,75,square
32,32,square
51,51,square
22,22,square
20,7,rectangle
35,35,square
73,73,square
82,82,square
69,69,square
10,10,square
64,7,rectangle
22,35,rectangle
1,75,rectangle
21,21,square
35,29,rectangle
57,59,rectangle
80,80,square
96,96,square
96,78,rectangle
6,87,rectangle
29,23,rectangle
88,66,rectangle
21,21,square
31,53,rectangle
51,51,square
23,23,square
61,61,square
97,27,rectangle
24,24,square
54,20,rectangle
86,86,square
37,37,square
25,25,square
33,7,rectangle
42,90,rectangle
49,94,rectangle
57,3,rectangle
79,79,square
88,72,rectangle
63,5,rectangle
73,73,square
46,89,rectangle
46,46,square
5,85,rectangle
100,100,square
15,15,square
57,77,rectangle
85,4,rectangle
12,12,square
40,35,rectangle
72,43,rectangle
31,48,rectangle
9,9,square
14,14,square
20,20,square
24,24,square
40,40,square
19,19,square
13,13,square
42,6,rectangle
7,5,rectangle
76,76,square
73,73,square
10,10,square
5,41,rectangle
8,59,rectangle
5,50,rectangle
23,69,rectangle
42,42,square
34,89,rectangle
11,11,square
11,11,square
48,48,square
21,21,square
36,40,rectangle
90,90,square
29,71,rectangle
95,63,rectangle
18,18,square
36,32,rectangle
13,13,square
65,65,square
28,28,square
46,46,square
42,42,square
68,17,rectangle
20,20,square
31,31,square
80,19,rectangle
98,98,square
24,95,rectangle
45,45,square
15,65,rectangle
90,90,square
22,22,square
73,73,square
25,37,rectangle
27,27,square
97,97,square
78,78,square
59,94,rectangle
97,97,square
48,48,square
96,96,square
51,51,square
76,15,rectangle
51,51,square
75,65,rectangle
60,60,square
17,60,rectangle
52,52,square
31,47,rectangle
7,7,square
40,68,rectangle
48,34,rectangle
58,70,rectangle
56,56,square
41,68,rectangle
62,62,square
5,62,rectangle
29,82,rectangle
51,64,rectangle
73,73,square
93,53,rectangle
67,67,square
67,67,square
72,72,square
51,46,rectangle
87,87,square
91,54,rectangle
14,86,rectangle
39,39,square
5,1,rectangle
100,100,square
35,35,square
5,12,rectangle
83,83,square
57,57,square
54,54,square
81,95,rectangle
12,67,rectangle
52,41,rectangle
28,10,rectangle
60,60,square
62,62,square
44,44,square
6,6,square
72,51,rectangle
25,25,square
20,73,rectangle
19,19,square
91,8,rectangle
49,49,square
5,5,square
19,95,rectangle
53,53,square
3,58,rectangle
35,35,square
61,61,square
10,10,square
16,49,rectangle
55,45,rectangle
87,87,square
2,29,rectangle
52,52,square
89,89,square
68,68,square
94,36,rectangle
1,97,rectangle
17,17,square
57,57,square
89,89,square
21,15,rectangle
2,61,rectangle
58,58,square
64,64,square
71,98,rectangle
62,62,square
100,29,rectangle
68,81,rectangle
44,67,rectangle
93,93,square
81,27,rectangle
42,12,rectangle
29,29,square
54,33,rectangle
4,4,square
38,76,rectangle
69,69,square
72,61,rectangle
44,98,rectangle
100,100,square
44,44,square
8,8,square
98,98,square
35,32,rectangle
84,94,rectangle
24,24,square
41,41,square
18,88,rectangle
76,69,rectangle
41,41,square
34,14,rectangle
49,49,square
95,6,rectangle
75,75,square
29,53,rectangle
75,64,rectangle
6,6,square
41,85,rectangle
42,36,rectangle
45,3,rectangle
18,18,square
52,13,rectangle
4,4,square
74,74,square
81,81,square
100,81,rectangle
93,94,rectangle
30,30,square
54,54,square
58,58,square
68,58,rectangle
14,14,square
91,71,rectangle
71,35,rectangle
89,89,square
59,59,square
4,55,rectangle
83,36,rectangle
17,17,square
83,83,square
68,68,square
33,22,rectangle
95,95,square
47,47,square
33,24,rectangle
47,23,rectangle
69,69,square
85,50,rectangle
45,50,rectangle
39,84,rectangle
17,17,square
20,20,square
54,14,rectangle
21,27,rectangle
9,36,rectangle
27,27,square
16,11,rectangle
1,1,square
80,64,rectangle
6,93,rectangle
46,15,rectangle
44,9,rectangle
29,29,square
22,88,rectangle
63,63,square
53,13,rectangle
94,27,rectangle
14,14,square
21,21,square
60,60,square
8,91,rectangle
1,31,rectangle
59,30,rectangle
72,31,rectangle
30,64,rectangle
82,82,square
51,40,rectangle
73,73,square
21,21,square
14,91,rectangle
66,28,rectangle
13,13,square
63,94,rectangle
49,49,square
19,6,rectangle
87,87,square
95,99,rectangle
58,14,rectangle
52,14,rectangle
86,35,rectangle
65,92,rectangle
88,31,rectangle
9,82,rectangle
49,49,square
2,2,square
54,31,rectangle
2,66,rectangle
60,60,square
32,36,rectangle
98,44,rectangle
82,82,square
97,97,square
22,22,square
73,73,square
21,50,rectangle
91,91,square
82,82,square
60,60,square
66,66,square
88,32,rectangle
45,21,rectangle
46,46,square
83,83,square
52,52,square
85,63,rectangle
33,7,rectangle
69,58,rectangle
58,100,rectangle
82,82,square
70,70,square
64,64,square
58,9,rectangle
60,42,rectangle
26,26,square
100,1,rectangle
83,66,rectangle
35,85,rectangle
91,34,rectangle
41,38,rectangle
82,82,square
51,55,rectangle
93,93,square
23,78,rectangle
70,70,square
70,24,rectangle
17,17,square
12,12,square
16,76,rectangle
95,79,rectangle
8,8,square
98,47,rectangle
3,3,square
12,12,square
53,34,rectangle
14,1,rectangle
74,39,rectangle
60,47,rectangle
49,49,square
4,4,square
42,42,square
62,62,square
43,43,square
46,18,rectangle
98,98,square
19,46,rectangle
35,4,rectangle
19,19,square
78,78,square
58,52,rectangle
98,47,rectangle
23,27,rectangle
3,3,square
89,94,rectangle
52,47,rectangle
87,28,rectangle
39,39,square
89,89,square
81,100,rectangle
65,26,rectangle
2,21,rectangle
34,10,rectangle
96,99,rectangle
94,21,rectangle
62,62,square
14,42,rectangle
54,86,rectangle
71,55,rectangle
59,15,rectangle
10,10,square
74,74,square
57,57,square
83,50,rectangle
31,71,rectangle
18,82,rectangle
1,53,rectangle
18,40,rectangle
66,22,rectangle
82,82,square
68,46,rectangle
9,9,square
83,80,rectangle
3,90,rectangle
27,73,rectangle
13,13,square
37,37,square
97,18,rectangle
6,91,rectangle
60,44,rectangle
65,71,rectangle
5,5,square
71,13,rectangle
89,89,square
27,27,square
84,84,square
71,71,square
42,71,rectangle
25,39,rectangle
52,15,rectangle
4,78,rectangle
10,10,square
6,6,square
13,15,rectangle
50,75,rectangle
41,53,rectangle
13,13,square
29,29,square
87,95,rectangle
33,35,rectangle
25,91,rectangle
93,64,rectangle
19,19,square
18,29,rectangle
70,70,square
81,99,rectangle
4,4,square
97,72,rectangle
70,70,square
70,70,square
4,4,square
45,45,square
98,98,square
43,21,rectangle
98,94,rectangle
85,85,square
97,86,rectangle
41,41,square
70,67,rectangle
59,24,rectangle
67,83,rectangle
71,71,square
45,30,rectangle
92,59,rectangle
97,97,square
24,66,rectangle
45,81,rectangle
63,63,square
51,51,square
28,60,rectangle
20,20,square
61,61,square
35,35,square
60,64,rectangle
89,82,rectangle
19,19,square
80,40,rectangle
90,88,rectangle
72,72,square
34,34,square
55,55,square
62,62,square
8,90,rectangle
13,54,rectangle
38,41,rectangle
78,31,rectangle
85,85,square
58,58,square
64,64,square
34,55,rectangle
14,14,square
23,23,square
63,63,square
81,52,rectangle
48,48,square
74,38,rectangle
29,59,rectangle
74,74,square
68,20,rectangle
32,2,rectangle
72,72,square
30,2,rectangle
80,35,rectangle
83,79,rectangle
50,39,rectangle
7,7,square
46,46,square
8,73,rectangle
81,81,square
26,85,rectangle
59,59,square
87,87,square
55,43,rectangle
81,7,rectangle
17,17,square
21,39,rectangle
48,79,rectangle
47,2,rectangle
28,28,square
38,38,square
61,35,rectangle
29,20,rectangle
70,17,rectangle
60,60,square
88,92,rectangle
88,58,rectangle
50,14,rectangle
9,9,square
48,39,rectangle
44,44,square
75,47,rectangle
1,1,square
3,7,rectangle
59,59,square
38,38,square
7,7,square
76,100,rectangle
87,62,rectangle
86,86,square
49,49,square
52,11,rectangle
5,5,square
21,18,rectangle
22,32,rectangle
58,93,rectangle
93,93,square
81,59,rectangle
39,66,rectangle
65,65,square
100,54,rectangle
82,82,square
64,64,square
9,9,square
46,58,rectangle
52,69,rectangle
20,22,rectangle
48,48,square
13,64,rectangle
44,74,rectangle
11,11,square
72,72,square
18,18,square
17,43,rectangle
45,45,square
21,21,square
16,3,rectangle
19,69,rectangle
73,73,square
10,56,rectangle
90,90,square
21,21,square
63,79,rectangle
22,64,rectangle
16,16,square
81,89,rectangle
17,67,rectangle
56,74,rectangle
66,33,rectangle
71,37,rectangle
80,56,rectangle
72,81,rectangle
68,68,square
20,44,rectangle
16,16,square
68,88,rectangle
11,11,square
36,36,square
35,35,square
93,41,rectangle
86,86,square
84,42,rectangle
46,46,square
48,24,rectangle
93,93,square
54,65,rectangle
56,58,rectangle
75,75,square
60,3,rectangle
65,65,square
30,30,square
65,65,square
71,25,rectangle
92,24,rectangle
18,18,square
60,60,square
29,29,square
80,59,rectangle
98,98,square
95,7,rectangle
34,34,square
19,34,rectangle
78,50,rectangle
60,60,square
70,70,square
87,87,square
67,53,rectangle
71,71,square
70,70,square
74,81,rectangle
17,17,square
38,45,rectangle
11,84,rectangle
19,88,rectangle
68,25,rectangle
1,1,square
33,33,square
44,44,square
53,98,rectangle
64,64,square
34,34,square
7,7,square
74,74,square
4,4,square
51,64,rectangle
42,7,rectangle
97,45,rectangle
63,63,square
85,3,rectangle
86,13,rectangle
64,64,square
99,48,rectangle
70,70,square
35,96,rectangle
62,62,square
60,60,square
29,82,rectangle
55,33,rectangle
15,15,square
73,73,square
77,20,rectangle
15,25,rectangle
40,40,square
41,41,square
51,51,square
29,29,square
99,100,rectangle
62,62,square
60,60,square
9,53,rectangle
6,6,square
4,97,rectangle
13,34,rectangle
41,99,rectangle
4,4,square
35,7,rectangle
13,75,rectangle
50,43,rectangle
17,98,rectangle
68,68,square
80,79,rectangle
14,15,rectangle
38,98,rectangle
47,47,square
16,16,square
23,23,square
38,52,rectangle
49,49,square
96,97,rectangle
45,19,rectangle
44,20,rectangle
39,39,square
76,23,rectangle
52,100,rectangle
82,66,rectangle
27,27,square
5,5,square
61,61,square
5,5,square
54,10,rectangle
11,11,square
48,48,square
76,76,square
8,47,rectangle
69,69,square
100,13,rectangle
86,86,square
62,62,square
89,94,rectangle
86,86,square
49,4,rectangle
41,41,square
35,35,square
39,39,square
49,49,square
27,27,square
69,69,square
63,8,rectangle
22,22,square
6,15,rectangle
16,16,square
92,92,square
76,32,rectangle
36,56,rectangle
31,92,rectangle
54,15,rectangle
62,19,rectangle
79,31,rectangle
53,53,square
31,25,rectangle
65,65,square
64,64,square
80,20,rectangle
71,64,rectangle
24,83,rectangle
7,86,rectangle
16,16,square
2,2,square
26,55,rectangle
78,78,square
25,25,square
59,59,square
3,3,square
80,88,rectangle
51,51,square
40,40,square
56,22,rectangle
51,64,rectangle
32,32,square
13,13,square
71,71,square
47,47,square
87,87,square
49,49,square
38,55,rectangle
61,16,rectangle
98,98,square
37,72,rectangle
79,79,square
75,97,rectangle
84,84,square
59,59,square
42,17,rectangle
28,28,square
78,78,square
9,9,square
91,49,rectangle
21,12,rectangle
74,72,rectangle
13,13,square
73,73,square
33,2,rectangle
26,26,square
48,65,rectangle
92,92,square
76,76,square
55,59,rectangle
76,27,rectangle
43,94,rectangle
59,48,rectangle
10,10,square
65,65,square
11,11,square
16,16,square
28,28,square
45,45,square
100,45,rectangle
95,92,rectangle
85,85,square
56,56,square
28,28,square
28,28,square
61,56,rectangle
70,70,square
49,49,square
23,22,rectangle
92,92,square
33,61,rectangle
13,13,square
92,39,rectangle
24,24,square
60,83,rectangle
8,8,square
52,52,square
73,34,rectangle
19,100,rectangle
92,92,square
91,91,square
22,22,square
92,13,rectangle
90,100,rectangle
84,84,square
70,70,square
97,26,rectangle
74,87,rectangle
90,18,rectangle
79,72,rectangle
28,82,rectangle
32,49,rectangle
21,21,square
38,74,rectangle
80,80,square
78,65,rectangle
31,31,square
57,57,square
12,8,rectangle
18,44,rectangle
93,93,square
55,67,rectangle
52,52,square
11,33,rectangle
68,43,rectangle
5,5,square
12,16,rectangle
10,10,square
30,22,rectangle
65,65,square
4,26,rectangle
66,66,square
48,48,square
25,25,square
3,3,square
51,51,square
54,78,rectangle
25,26,rectangle
37,37,square
53,61,rectangle
11,59,rectangle
90,97,rectangle
16,16,square
30,30,square
13,78,rectangle
35,54,rectangle
92,92,square
12,52,rectangle
62,23,rectangle
54,54,square
77,68,rectangle
14,79,rectangle
38,38,square
45,50,rectangle
89,17,rectangle
16,82,rectangle
37,59,rectangle
93,93,square
76,1,rectangle
24,83,rectangle
49,57,rectangle
85,70,rectangle
22,22,square
72,72,square
67,67,square
77,77,square
3,3,square
39,87,rectangle
84,84,square
55,55,square
8,46,rectangle
81,87,rectangle
97,97,square
100,31,rectangle
13,37,rectangle
61,61,square
5,52,rectangle
63,5,rectangle
14,14,square
51,87,rectangle
46,100,rectangle
30,77,rectangle
59,59,square
12,12,square
97,19,rectangle
25,25,square
70,70,square
9,9,square
68,63,rectangle
20,56,rectangle
37,90,rectangle
7,87,rectangle
5,34,rectangle
90,90,square
5,16,rectangle
93,62,rectangle
6,6,square
33,28,rectangle
22,94,rectangle
30,30,square
60,46,rectangle
63,63,square
48,84,rectangle
40,81,rectangle
60,60,square
69,69,square
53,28,rectangle
38,19,rectangle
87,3,rectangle
9,68,rectangle
41,41,square
55,96,rectangle
99,99,square
95,95,square
15,100,rectangle
6,81,rectangle
42,37,rectangle
8,86,rectangle
56,56,square
47,94,rectangle
42,42,square
72,74,rectangle
26,26,square
26,26,square
69,63,rectangle
50,50,square
97,97,square
91,85,rectangle
81,32,rectangle
49,49,square
68,74,rectangle
86,86,square
29,60,rectangle
46,44,rectangle
97,97,square
98,11,rectangle
26,26,square
12,59,rectangle
73,73,square
85,53,rectangle
36,36,square
97,97,square
36,10,rectangle
92,31,rectangle
73,73,square
3,3,square
25,25,square
91,91,square
37,37,square
4,26,rectangle
83,83,square
32,32,square
53,53,square
20,74,rectangle
61,91,rectangle
31,31,square
27,27,square
95,30,rectangle
14,62,rectangle
25,25,square
6,97,rectangle
46,46,square
8,8,square
69,69,square
48,97,rectangle
28,25,rectangle
67,67,square
24,24,square
90,39,rectangle
89,30,rectangle
100,100,square
93,2,rectangle
71,32,rectangle
7,7,square
69,34,rectangle
40,54,rectangle
91,61,rectangle
6,12,rectangle
70,20,rectangle
95,95,square
34,34,square
87,87,square
96,96,square
26,82,rectangle
75,75,square
17,17,square
27,56,rectangle
53,53,square
3,3,square
56,56,square
